,station,date,prcp,name,latitude,longitude
0,USC00514830,2014-07-20,11.53,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
1,USC00519281,2014-07-20,7.97,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
2,USC00513117,2014-07-20,5.98,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
3,USC00519523,2014-07-20,5.54,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
4,USC00516128,2014-07-20,4.3,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
5,USC00516128,2014-07-27,1.43,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
6,USC00519397,2014-07-20,1.09,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
7,USC00511918,2014-07-20,1.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
8,USC00516128,2014-08-02,0.95,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
9,USC00516128,2014-07-23,0.93,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
10,USC00519397,2014-07-27,0.79,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
11,USC00516128,2014-07-21,0.72,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
12,USC00514830,2014-07-21,0.57,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
13,USC00519281,2014-07-22,0.49,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
14,USC00519523,2014-07-22,0.41,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
15,USC00513117,2014-07-23,0.31,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
16,USC00519281,2014-08-02,0.31,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
17,USC00514830,2014-07-23,0.26,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
18,USC00516128,2014-07-26,0.26,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
19,USC00519281,2014-07-21,0.17,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
20,USC00519281,2014-07-27,0.16,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
21,USC00516128,2014-07-22,0.14,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
22,USC00516128,2014-07-24,0.13,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
23,USC00519281,2014-07-26,0.13,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
24,USC00511918,2014-07-27,0.1,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
25,USC00513117,2014-08-02,0.1,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
26,USC00514830,2014-08-02,0.09,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
27,USC00519523,2014-07-21,0.07,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
28,USC00516128,2014-08-01,0.06,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
29,USC00519281,2014-07-23,0.06,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
30,USC00513117,2014-07-21,0.05,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
31,USC00514830,2014-07-22,0.05,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
32,USC00516128,2014-07-25,0.05,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
33,USC00513117,2014-07-27,0.04,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
34,USC00513117,2014-07-26,0.02,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
35,USC00514830,2014-07-24,0.02,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
36,USC00514830,2014-07-25,0.02,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
37,USC00516128,2014-07-31,0.02,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
38,USC00519281,2014-07-24,0.02,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
39,USC00511918,2014-07-21,0.01,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
40,USC00511918,2014-07-23,0.01,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
41,USC00513117,2014-07-22,0.01,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
42,USC00516128,2014-07-19,0.01,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
43,USC00519397,2014-07-23,0.01,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
44,USC00511918,2014-07-19,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
45,USC00511918,2014-07-22,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
46,USC00511918,2014-07-24,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
47,USC00511918,2014-07-25,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
48,USC00511918,2014-07-26,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
49,USC00511918,2014-07-28,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
50,USC00511918,2014-07-29,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
51,USC00511918,2014-07-30,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
52,USC00511918,2014-07-31,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
53,USC00511918,2014-08-01,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
54,USC00511918,2014-08-02,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
55,USC00513117,2014-07-19,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
56,USC00513117,2014-07-24,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
57,USC00513117,2014-07-25,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
58,USC00513117,2014-07-28,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
59,USC00513117,2014-07-29,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
60,USC00513117,2014-07-30,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
61,USC00513117,2014-07-31,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
62,USC00513117,2014-08-01,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
63,USC00514830,2014-07-19,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
64,USC00514830,2014-07-28,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
65,USC00514830,2014-07-29,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
66,USC00514830,2014-07-30,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
67,USC00514830,2014-07-31,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
68,USC00514830,2014-08-01,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
69,USC00516128,2014-07-28,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
70,USC00516128,2014-07-29,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
71,USC00516128,2014-07-30,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
72,USC00517948,2014-07-25,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
73,USC00517948,2014-07-29,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
74,USC00517948,2014-07-30,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
75,USC00519281,2014-07-19,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
76,USC00519281,2014-07-25,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
77,USC00519281,2014-07-28,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
78,USC00519281,2014-07-29,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
79,USC00519281,2014-07-30,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
80,USC00519281,2014-07-31,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
81,USC00519281,2014-08-01,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
82,USC00519397,2014-07-19,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
83,USC00519397,2014-07-21,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
84,USC00519397,2014-07-22,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
85,USC00519397,2014-07-24,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
86,USC00519397,2014-07-25,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
87,USC00519397,2014-07-26,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
88,USC00519397,2014-07-28,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
89,USC00519397,2014-07-29,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
90,USC00519397,2014-07-30,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
91,USC00519397,2014-07-31,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
92,USC00519397,2014-08-01,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
93,USC00519397,2014-08-02,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
94,USC00519523,2014-07-19,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
95,USC00519523,2014-07-23,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
96,USC00519523,2014-07-24,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
97,USC00519523,2014-07-28,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
98,USC00519523,2014-08-01,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
99,USC00519523,2014-08-02,0.0,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
100,USC00514830,2014-07-27,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
101,USC00517948,2014-07-21,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
102,USC00517948,2014-07-22,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
103,USC00517948,2014-07-23,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
104,USC00517948,2014-07-24,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
105,USC00517948,2014-07-28,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
106,USC00517948,2014-07-31,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
107,USC00519523,2014-07-27,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
108,USC00519523,2014-07-31,,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025
